objective,correct algorithm,true,predicted algorithm,pred,equal,sape
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",339507.3333333333,"delta_f<512, 8, uncompr_f>",339507.3333333333,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",338708.0,"delta_f<512, 8, uncompr_f>",338708.0,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",340064.3333333333,"delta_f<512, 8, uncompr_f>",340064.3333333333,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",338756.3333333333,"delta_f<512, 8, uncompr_f>",338756.3333333333,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",342282.6666666667,"delta_f<512, 8, uncompr_f>",342282.6666666667,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",340572.6666666667,"delta_f<512, 8, uncompr_f>",340572.6666666667,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",339216.6666666667,"delta_f<512, 8, uncompr_f>",339216.6666666667,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",340574.3333333333,"delta_f<512, 8, uncompr_f>",340574.3333333333,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",338430.6666666667,"delta_f<512, 8, uncompr_f>",338430.6666666667,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",343017.0,"delta_f<512, 8, uncompr_f>",343017.0,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",340793.0,"delta_f<512, 8, uncompr_f>",340793.0,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",340348.3333333333,"delta_f<512, 8, uncompr_f>",340348.3333333333,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",338506.6666666667,"delta_f<512, 8, uncompr_f>",338506.6666666667,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",340115.6666666667,"delta_f<512, 8, uncompr_f>",340115.6666666667,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",341436.6666666667,"delta_f<512, 8, uncompr_f>",341436.6666666667,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",338589.3333333333,"delta_f<512, 8, uncompr_f>",338589.3333333333,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",341590.6666666667,"delta_f<512, 8, uncompr_f>",341590.6666666667,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",342535.6666666667,"delta_f<512, 8, uncompr_f>",342535.6666666667,1,0.0
runtime compr ram2ram [µs],"delta_f<512, 8, uncompr_f>",342585.3333333333,"delta_f<512, 8, uncompr_f>",342585.3333333333,1,0.0
