objective,correct algorithm,true,predicted algorithm,pred,equal,sape
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",1.0,group_simple_f<8>,1.25,0,22.22222222222222
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",1.0,group_simple_f<8>,1.25,0,22.22222222222222
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",2.0,"static_vbp_f<vbp_l<bw, 8> >",2.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",1.9166666666666667,group_simple_f<8>,1.9166666666666667,0,0.0
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",3.0,"static_vbp_f<vbp_l<bw, 8> >",3.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",2.583333333333333,group_simple_f<8>,2.833333333333333,0,9.230769230769232
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",4.0,"static_vbp_f<vbp_l<bw, 8> >",4.0,1,0.0
compressed size [byte],group_simple_f<8>,3.75,group_simple_f<8>,3.75,1,0.0
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",5.0,"static_vbp_f<vbp_l<bw, 8> >",5.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",4.833333333333333,group_simple_f<8>,4.916666666666667,0,1.7094017094017218
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",6.0,"static_vbp_f<vbp_l<bw, 8> >",6.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",5.75,group_simple_f<8>,6.0,0,4.25531914893617
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",7.0,"static_vbp_f<vbp_l<bw, 8> >",7.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",6.75,group_simple_f<8>,6.75,0,0.0
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",8.0,"static_vbp_f<vbp_l<bw, 8> >",8.0,1,0.0
compressed size [byte],group_simple_f<8>,7.5,group_simple_f<8>,7.5,1,0.0
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",9.0,"static_vbp_f<vbp_l<bw, 8> >",9.0,1,0.0
compressed size [byte],group_simple_f<8>,8.5,group_simple_f<8>,8.5,1,0.0
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",10.0,"static_vbp_f<vbp_l<bw, 8> >",10.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",9.75,group_simple_f<8>,10.0,0,2.5316455696202533
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",11.0,"static_vbp_f<vbp_l<bw, 8> >",11.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",10.666666666666666,group_simple_f<8>,11.5,0,7.518796992481209
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",12.0,"dynamic_vbp_f<512, 64, 8>",12.25,0,2.0618556701030926
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",11.583333333333334,group_simple_f<8>,12.416666666666666,0,6.944444444444435
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",13.0,"static_vbp_f<vbp_l<bw, 8> >",13.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",12.833333333333334,group_simple_f<8>,14.5,0,12.195121951219507
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",14.0,"static_vbp_f<vbp_l<bw, 8> >",14.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",13.583333333333334,group_simple_f<8>,15.5,0,13.180515759312318
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",15.0,"static_vbp_f<vbp_l<bw, 8> >",15.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",14.75,group_simple_f<8>,16.0,0,8.130081300813007
